sample	feature	homo_p	homo	stab_p	stab	n_platforms	confidence	MetaboliteName
F	HMDB0000001	1	yes	1	yes	2	high	1-methylhistidine
F	HMDB0000005	1	yes	1	yes	2	high	alpha-ketobutyrate
F	HMDB0000008	1	yes	1	yes	2	high	2-hydroxybutyrate/2-hydroxyisobutyrate
F	HMDB0000011	1	yes	1	yes	2	high	3-hydroxybutyrate (BHBA)
F	HMDB0000020	1	yes	1	yes	2	high	4-hydroxyphenylacetate
F	HMDB0000026	1	yes	1	yes	2	high	3-ureidopropionate
F	HMDB0000034	1	yes	1	yes	2	high	adenine
F	HMDB0000036	1	yes	1	yes	2	high	taurocholate
F	HMDB0000039	1	yes	1	yes	2	high	butyrate (4:0)
F	HMDB0000054	1	yes	1	yes	2	high	bilirubin (Z,Z)
F	HMDB0000056	1	yes	1	yes	2	high	beta-alanine
F	HMDB0000062	1	yes	1	yes	2	high	carnitine
F	HMDB0000064	1	yes	1	yes	2	high	creatine
F	HMDB0000086	1	yes	1	yes	2	high	glycerophosphorylcholine (GPC)
F	HMDB0000092	1	yes	1	yes	2	high	dimethylglycine
F	HMDB0000094	1	yes	1	yes	2	high	citrate
F	HMDB0000122	1	yes	1	yes	2	high	glucose
F	HMDB0000128	1	yes	1	yes	2	high	guanidinoacetate
F	HMDB0000138	1	yes	1	yes	2	high	glycocholate
F	HMDB0000148	1	yes	1	yes	2	high	glutamate
F	HMDB0000152	1	yes	0.25	yes	2	high	gentisate
F	HMDB0000156	1	yes	1	yes	2	high	malate
F	HMDB0000157	1	yes	1	yes	2	high	hypoxanthine
F	HMDB0000158	1	yes	1	yes	2	high	tyrosine
F	HMDB0000159	1	yes	1	yes	2	high	phenylalanine
F	HMDB0000161	1	yes	1	yes	2	high	alanine
F	HMDB0000162	1	yes	1	yes	2	high	proline
F	HMDB0000163	1	yes	1	yes	2	high	maltose/cellobiose
F	HMDB0000167	1	yes	1	yes	2	high	threonine
F	HMDB0000168	1	yes	1	yes	2	high	asparagine
F	HMDB0000172	1	yes	1	yes	2	high	isoleucine
F	HMDB0000176	1	yes	1	yes	2	high	maleate
F	HMDB0000177	1	yes	1	yes	2	high	histidine
F	HMDB0000182	1	yes	1	yes	2	high	lysine
F	HMDB0000187	1	yes	1	yes	2	high	serine
F	HMDB0000190	1	yes	1	yes	2	high	lactate
F	HMDB0000191	1	yes	1	yes	2	high	aspartate
