sample_pair	feature	assigned_value	sd	n	u_char	homo_p	homo	u_homo	stab_p	stab	u_lts	type	u_homo_eff	u_lts_eff	u_c	u_k	MetaboliteName	final_type
F/P	HMDB0000001	0.949509114589061	0.179559234463053	9	0.0598530781543512		yes		0.222007242263483	yes	0.00551169674226088	informative	0	0	0.0598530781543512	0.119706156308702	1-methylhistidine	informative
F/P	HMDB0000005	0.98990681638223	0.0771435369382977	9	0.0257145123127659		yes		0.000232948136395027	no	0.000951308196410485	informative	0	0	0.0257145123127659	0.0514290246255318	alpha-ketobutyrate	informative
F/P	HMDB0000008	0.937216629436363	0.117681959485508	9	0.0392273198285025		yes		0.323132937166817	yes	0.00375755588384879	informative	0	0	0.0392273198285025	0.0784546396570051	2-hydroxybutyrate/2-hydroxyisobutyrate	informative
F/P	HMDB0000011	1.22229783873557	0.0684884353631682	9	0.0228294784543894		yes		0.0739570637114255	yes	0.00184615918271126	certified	0	0	0.0228294784543894	0.0456589569087788	3-hydroxybutyrate (BHBA)	certified
F/P	HMDB0000020	0.718183179908508	0.387244092845625	9	0.129081364281875		yes		2.98297575101109e-05	no	0.00357257388270151	informative	0	0	0.129081364281875	0.25816272856375	4-hydroxyphenylacetate	informative
F/P	HMDB0000026	1.02913859774841	0.143784244925306	9	0.0479280816417687		yes		0.0814614402828479	yes	0.00392262024791861	informative	0	0	0.0479280816417687	0.0958561632835374	3-ureidopropionate	informative
F/P	HMDB0000034	1.38879299046033	1.01153933672048	9	0.337179778906828		yes		0.307864915480145	yes	0.032141362782684	informative	0	0	0.337179778906828	0.674359557813655	adenine	informative
F/P	HMDB0000036	1.12311140159011	0.146469024205244	9	0.0488230080684148		yes		0.919307394917263	yes	0.00503601193422783	informative	0	0	0.0488230080684148	0.0976460161368296	taurocholate	informative
F/P	HMDB0000039	1.42307869697735	0.372405915354412	9	0.124135305118137		yes		3.54994053292881e-05	no	0.00352140101798344	informative	0	0	0.124135305118137	0.248270610236275	butyrate (4:0)	informative
F/P	HMDB0000054	0.736425770872755	0.0819993019203776	9	0.0273331006401259		yes		0.523227167196697	yes	0.00273478765108274	informative	0	0	0.0273331006401259	0.0546662012802517	bilirubin (Z,Z)	informative
F/P	HMDB0000056	0.77739381108056	0.190068702188363	9	0.0633562340627877		yes		0.0167763084635179	no	0.00422771211114454	informative	0	0	0.0633562340627877	0.126712468125575	beta-alanine	informative
F/P	HMDB0000062	0.957523782954022	0.0511495699735818	9	0.0170498566578606		yes		0.523381900553383	yes	0.001705947032918	informative	0	0	0.0170498566578606	0.0340997133157212	carnitine	informative
F/P	HMDB0000064	1.14253309158172	0.0355854459956173	9	0.0118618153318725		yes		0.64061352355932	yes	0.00120419596717501	informative	0	0	0.0118618153318725	0.0237236306637449	creatine	informative
F/P	HMDB0000086	1.35497867685448	1.23877495608846	9	0.41292498536282		yes		0.342986939876761	yes	0.0397876066528803	informative	0	0	0.41292498536282	0.825849970725639	glycerophosphorylcholine (GPC)	informative
F/P	HMDB0000092	0.57306358979105	0.366227272658952	9	0.122075757552984		yes		0.931143045092119	yes	0.0125946123601509	informative	0	0	0.122075757552984	0.244151515105968	dimethylglycine	informative
F/P	HMDB0000094	1.23638539246663	0.505868876990494	9	0.168622958996831		yes		0.069144891947048	yes	0.0135219572607017	informative	0	0	0.168622958996831	0.337245917993663	citrate	informative
F/P	HMDB0000122	0.968460118861422	0.0436554285390393	9	0.0145518095130131		yes		0.00158647913262257	no	0.000703891263447338	informative	0	0	0.0145518095130131	0.0291036190260262	glucose	informative
F/P	HMDB0000128	0.944351199604682	0.073421121195745	9	0.0244737070652483		yes		0.143342336975047	yes	0.00214442482407623	informative	0	0	0.0244737070652483	0.0489474141304967	guanidinoacetate	informative
F/P	HMDB0000138	0.884250073282707	0.0307192702213381	9	0.010239756740446		yes		0.0577186893032202	yes	0.000802662767855965	informative	0	0	0.010239756740446	0.020479513480892	glycocholate	informative
F/P	HMDB0000148	0.832666436206294	0.0736521518815718	9	0.0245507172938573		yes		0.131182820475514	yes	0.00212882325105911	informative	0	0	0.0245507172938573	0.0491014345877145	glutamate	informative
F/P	HMDB0000152	1.10331652815035	0.210710232288713	7	0.0796409819046554		yes		0.0193026399189579	no	0.00431921959005833	informative	0	0	0.0796409819046554	0.159281963809311	gentisate	informative
F/P	HMDB0000156	1.14526246426655	0.262374452892544	9	0.0874581509641812		yes		0.00773646482518276	no	0.00525892487058881	informative	0	0	0.0874581509641812	0.174916301928362	malate	informative
F/P	HMDB0000157	1.05278363846547	0.052755228270597	9	0.017585076090199		yes		0.578250519961589	yes	0.00177278573406484	informative	0	0	0.017585076090199	0.035170152180398	hypoxanthine	informative
F/P	HMDB0000158	0.890997927229956	0.2156953015579	9	0.0718984338526335		yes		0.171723273308725	yes	0.0064330666791969	informative	0	0	0.0718984338526335	0.143796867705267	tyrosine	informative
F/P	HMDB0000159	0.979199598828498	0.051302024857906	9	0.0171006749526353		yes		0.10408005204601	yes	0.00144224734357874	informative	0	0	0.0171006749526353	0.0342013499052707	phenylalanine	informative
F/P	HMDB0000161	0.983590575629719	0.0531556294007448	9	0.0177185431335816		yes		0.0542767121444592	yes	0.00137810935890096	informative	0	0	0.0177185431335816	0.0354370862671632	alanine	informative
F/P	HMDB0000162	0.906250486525779	0.0397928123922776	9	0.0132642707974259		yes		0.333173079736627	yes	0.0012744420689092	informative	0	0	0.0132642707974259	0.0265285415948518	proline	informative
F/P	HMDB0000163	1.06504185936632	0.135411759848143	9	0.0451372532827144		yes		0.966917065991742	yes	0.00465888403271367	informative	0	0	0.0451372532827144	0.0902745065654287	maltose/cellobiose	informative
F/P	HMDB0000167	0.97717184889198	0.0702933419529951	9	0.0234311139843317		yes		0.301407194676625	yes	0.00222874363505668	informative	0	0	0.0234311139843317	0.0468622279686634	threonine	informative
